AlarmID,EventType,ProbableCause,SpecificProblem,PerceivedSeverity,OID
20021,Quality of Service,Threshold Crossed,Threshold Crossed: Low SINR,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.21
20022,Equipment,Out of Service,PA Biasing Failure,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.22
20023,Quality of Service,Performance Degraded,PCI Collision,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.23
20024,Quality of Service,Performance Degraded,PCI Confusion,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.24
20025,Equipment,Out of Service,Kill Switch,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.25
20026,Operational Violation,Out of Service,L1 start timeout,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.26
20027,Operational Violation,Out of Service,DSP or PHY Crash,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.27
20028,Equipment,Clock Synchronization Problem,Cell not synchronized,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.28
20029,Equipment,Loss Of Synchronization,Synchronization lost with all sources,Major,1.3.6.1.4.1.20858.10.104.101.2.2.29
20030,Processing Error,Configuration Or Customization Error,Invalid PHY or RF configuration,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.30
20031,Processing Error,Configuration Or Customization Error,System information configuration failure,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.31
20032,Processing Error,File Error,Failed backing-up configuration file,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.32
20033,Processing Error,File Error,Failed restoring configuration file,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.33
20034,Communications,Connection Establishment Error,Single MME connection is down,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.34
20035,Communications,Connection Establishment Error,IPsec tunnel is down,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.35
20036,Communications,Connection Establishment Error,IPsec tunnel expiry,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.36
20037,Communications,Connection Establishment Error,IPsec IKE SA expiry,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.37
20038,Communications,Connection Establishment Error,Operator Certificate Expired,Major,1.3.6.1.4.1.20858.10.104.101.2.2.38
20039,Equipment,Loss Of Synchronization,Holdover Period Expiration,Major,1.3.6.1.4.1.20858.10.104.101.2.2.39
20040,Equipment,Reboot,Administrative Reboot,Minor,1.3.6.1.4.1.20858.10.104.101.2.2.40
20041,Equipment,Reboot,Forced Reboot,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.41
20042,Communications,Connection Establishment Error,Max MME connection attempts reached for all MME,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.42
20043,Processing Error,Sofrware Error,Reboot Loop,Critical,1.3.6.1.4.1.20858.10.104.101.2.2.43
20044,Communications,Connection Establishment Error,DNS resolution failure,Warning,1.3.6.1.4.1.20858.10.104.101.2.2.44
